,Fill,x,y,x2,y2,xs,ys,xs2,ys2,Start,Stop,DateTimeStart,DateTimeStop
0,20512,,,,,,,,,1487656902,1487658226,2017-02-21 06:01:42,2017-02-21 06:23:46
1,20519,,,,,,,,,1487734097,1487776187,2017-02-22 03:28:17,2017-02-22 15:09:47
2,20522,-0.0182492,-0.1004456,,,-0.00084946,-1.6e-05,,,1487807184,1487862390,2017-02-22 23:46:24,2017-02-23 15:06:30
3,20532,-0.0182492,-0.1004456,-0.01012559,-0.1141164,-0.00084946,-1.6e-05,-0.00102624,6.657e-05,1487906101,1487951885,2017-02-24 03:15:01,2017-02-24 15:58:05
4,20534,-0.01012559,-0.1141164,,,-0.00102624,6.657e-05,,,1487979819,1487980073,2017-02-24 23:43:39,2017-02-24 23:47:53
5,20537,-0.01616341,-0.09395565,,,-0.00122393,0.00020762,,,1487990883,1488014738,2017-02-25 02:48:03,2017-02-25 09:25:38
6,20539,-0.01616341,-0.09395565,-0.02556717,-0.08282905,-0.00122393,0.00020762,-0.00132304,0.00032155,1488020930,1488049576,2017-02-25 11:08:50,2017-02-25 19:06:16
7,20545,-0.02556717,-0.08282905,-0.02483373,-0.110456,-0.00132304,0.00032155,-0.00083372,0.00010708,1488075450,1488098424,2017-02-26 02:17:30,2017-02-26 08:40:24
8,20546,-0.02722906,-0.116448,,,-0.00096598,6.884e-05,,,1488101648,1488124779,2017-02-26 09:34:08,2017-02-26 15:59:39
9,20548,-0.03327319,-0.1168069,,,-0.00112095,3.271e-05,,,1488134251,1488156898,2017-02-26 18:37:31,2017-02-27 00:54:58
10,20550,-0.04867269,-0.09880292,,,-0.00090435,-2.83e-06,,,1488164574,1488172650,2017-02-27 03:02:54,2017-02-27 05:17:30
11,20552,-0.04867269,-0.09880292,-0.03637557,-0.113023,-0.00090435,-2.83e-06,-0.00110676,-3.184e-05,1488181218,1488207779,2017-02-27 07:40:18,2017-02-27 15:02:59
12,20562,-0.03687831,-0.1048591,,,-0.00141039,0.00037752,,,1488273661,1488295737,2017-02-28 09:21:01,2017-02-28 15:28:57
13,20563,-0.03687831,-0.1048591,-0.03646297,-0.1191868,-0.00141039,0.00037752,-0.00216553,-0.00018346,1488307399,1488316219,2017-02-28 18:43:19,2017-02-28 21:10:19
14,20564,-0.03776877,-0.1112898,,,-0.00088309,4.123e-05,,,1488325518,1488354127,2017-02-28 23:45:18,2017-03-01 07:42:07
15,20566,-0.03776877,-0.1112898,-0.08794513,-0.09671766,-0.00088309,4.123e-05,8.263e-05,0.00026711,1488361128,1488369323,2017-03-01 09:38:48,2017-03-01 11:55:23
16,20568,-0.04700474,-0.1081145,,,-0.00090066,-0.00013924,,,1488419356,1488442540,2017-03-02 01:49:16,2017-03-02 08:15:40
17,20569,-0.04700474,-0.1081145,-0.04610203,-0.1079809,-0.00090066,-0.00013924,-6.4e-06,-4.725e-05,1488448037,1488462129,2017-03-02 09:47:17,2017-03-02 13:42:09
18,20570,-0.03862524,-0.09837376,,,-0.00061618,0.00010544,,,1488466372,1488489092,2017-03-02 14:52:52,2017-03-02 21:11:32
19,20571,-0.04501748,-0.1090326,,,-0.00100257,0.00032742,,,1488492995,1488520345,2017-03-02 22:16:35,2017-03-03 05:52:25
20,20573,-0.04501748,-0.1090326,-0.04562033,-0.09767035,-0.00100257,0.00032742,-0.00113453,4.597e-05,1488527424,1488550843,2017-03-03 07:50:24,2017-03-03 14:20:43
21,20575,-0.04342313,-0.0980887,,,-0.00102378,-4.75e-06,,,1488580602,1488603316,2017-03-03 22:36:42,2017-03-04 04:55:16
22,20576,-0.04342313,-0.0980887,-0.05040017,-0.09634808,-0.00102378,-4.75e-06,-0.00053954,-9.529e-05,1488607130,1488628873,2017-03-04 05:58:50,2017-03-04 12:01:13
23,20577,-0.05040017,-0.09634808,-0.03920003,-0.1092959,-0.00053954,-9.529e-05,-0.00078059,1.83e-05,1488632538,1488654448,2017-03-04 13:02:18,2017-03-04 19:07:28
24,20578,-0.03745869,-0.1003144,,,-0.00074368,3.225e-05,,,1488666633,1488688919,2017-03-04 22:30:33,2017-03-05 04:41:59
25,20581,-0.03745869,-0.1003144,-0.07535356,-0.1025739,-0.00074368,3.225e-05,-0.00139583,0.00055809,1488712560,1488732183,2017-03-05 11:16:00,2017-03-05 16:43:03
26,20584,-0.07535356,-0.1025739,-0.04922605,-0.08181068,-0.00139583,0.00055809,-0.00121696,0.0003555,1488789606,1488811784,2017-03-06 08:40:06,2017-03-06 14:49:44
27,20585,-0.04922605,-0.08181068,-0.09225479,-0.1015228,-0.00121696,0.0003555,-0.00051754,0.00013264,1488824482,1488835987,2017-03-06 18:21:22,2017-03-06 21:33:07
28,20586,-0.09225479,-0.1015228,-0.0862818,-0.1079175,-0.00051754,0.00013264,-0.00084636,-0.00024246,1488841537,1488864799,2017-03-06 23:05:37,2017-03-07 05:33:19
29,20588,-0.0862818,-0.1079175,-0.08427734,-0.09314241,-0.00084636,-0.00024246,-0.00066339,0.00037711,1488879046,1488901850,2017-03-07 09:30:46,2017-03-07 15:50:50
30,20591,-0.08791437,-0.1020132,,,-0.00029495,0.00028554,,,1488918797,1488929865,2017-03-07 20:33:17,2017-03-07 23:37:45
31,20592,-0.08791437,-0.1020132,-0.06471096,-0.09846789,-0.00029495,0.00028554,-0.00105506,-0.00014113,1488941766,1488985698,2017-03-08 02:56:06,2017-03-08 15:08:18
32,20593,-0.06471096,-0.09846789,,,-0.00105506,-0.00014113,,,1489000574,1489002553,2017-03-08 19:16:14,2017-03-08 19:49:13
33,20594,-0.06471096,-0.09846789,-0.05710472,-0.09536859,-0.00105506,-0.00014113,-0.00077322,0.00028327,1489007862,1489037575,2017-03-08 21:17:42,2017-03-09 05:32:55
34,20595,-0.05710472,-0.09536859,-0.08088974,-0.09244765,-0.00077322,0.00028327,-0.00072075,0.0006039,1489042316,1489061826,2017-03-09 06:51:56,2017-03-09 12:17:06
35,20598,-0.08088974,-0.09244765,,,-0.00072075,0.0006039,,,1489125297,1489128365,2017-03-10 05:54:57,2017-03-10 06:46:05
36,20599,-0.08088974,-0.09244765,,,-0.00072075,0.0006039,,,1489132776,1489134545,2017-03-10 07:59:36,2017-03-10 08:29:05
37,20602,-0.0659657,-0.1059738,,,-0.00121831,-4.204e-05,,,1489147692,1489172302,2017-03-10 12:08:12,2017-03-10 18:58:22
38,20604,-0.07607437,-0.1083911,,,-0.00082498,-0.00012544,,,1489196211,1489221531,2017-03-11 01:36:51,2017-03-11 08:38:51
39,20606,-0.07632872,-0.10861,,,-0.00079534,0.00031157,,,1489242810,1489271845,2017-03-11 14:33:30,2017-03-11 22:37:25
40,20607,-0.07632872,-0.10861,-0.09524215,-0.1096817,-0.00079534,0.00031157,-0.00094476,-0.00039925,1489277366,1489306709,2017-03-12 00:09:26,2017-03-12 08:18:29
41,20611,-0.08435345,-0.1272714,,,-0.00120872,0.0004764,,,1489323515,1489352422,2017-03-12 12:58:35,2017-03-12 21:00:22
42,20612,-0.08435345,-0.1272714,-0.09013057,-0.1261704,-0.00120872,0.0004764,-0.00073155,0.00052349,1489358314,1489387582,2017-03-12 22:38:34,2017-03-13 06:46:22
43,20613,-0.09013057,-0.1261704,-0.07504133,-0.1138184,-0.00073155,0.00052349,-0.00101276,5.105e-05,1489390774,1489411840,2017-03-13 07:39:34,2017-03-13 13:30:40
44,20617,-0.08374334,-0.1034098,,,-0.00096318,0.00051017,,,1489436446,1489446329,2017-03-13 20:20:46,2017-03-13 23:05:29
45,20624,-0.06433234,-0.07571629,,,-0.0009178,-1.336e-05,,,1489506715,1489531873,2017-03-14 15:51:55,2017-03-14 22:51:13
